Rang,Nom,Fortune,Société,Secteur
408,Olivier Breittmayer,215,EXCLUSIVE GROUP,numérique
408,Daniel Cathiard et Florence Cathiard ainsi que leur famille,215,CHATEAU SMITH HAUT LAFITTE,vins
408,Pascal Teurquetil et sa famille,220,GROUPE MULLER,industrie
410,Luc Darbonne et sa famille,210,DAREGAL,agroalimentaire
410,Daniel Derichebourg,210,DERICHEBOURG,services
410,Famille Lurton,210,VIGNOBLES ANDRE LURTON,vins
410,Pierre Mattei et sa famille,210,CORSICA FERRIES,services
410,Didier Mennechet et Philippe Peculier ainsi que leur famille,210,SGMR LES OPALINES,maisons de retraite
415,Jean-Paul Agon et sa famille,200,L’OREAL,cosmétiques
415,Frédéric Biousse et Elie Kouby et Emmanuel Pradère,0,EXPERIENCED CAPITAL PARTNER,holding
415,Jean-Paul Burrus et sa famille,200,SALPA,agroalimentaire
415,famille Condat,200,GROUPE CONDAT,chimie
415,Laurent Gerbi et Arthur Gerbi ainsi que leur famille,200,GERARD DAREL - MERCI,habillement
415,Olivier Halley et sa famille,200,MAISON HALLEY,holdings
415,Bernard Huvé et sa famille,200,SII,services
415,Nicolas Jeuffrain et Marc Watrin,0,TENERGIE,energie
415,Henri Lurton et sa famille,200,BRANE CANTENAC,vins
415,Samy Marciano,200,LA CLE GROUP,hôtellerie
415,Frédéric Merlin,200,L’AVENUE,immobilier
415,Benjamin Nicaise,0,CERENICIMO,finance
415,Francis-Charles Pollet et Julien Pollet ainsi que leur famille,200,PROMOD,habillement
415,Pierre Prieux,200,ALCEN,services
415,Jérôme Quentin-Mauroy et sa famille,200,TAGERIM,immobilier
415,Jean-Paul Rivière,200,GROUPE ALTITUDE,télécoms
415,Edouard Schumacher et Olivier Lamirault ainsi que leur famille,200,LS GROUP,automobile
415,Marc Sellam,200,IONIS EDUCATION,enseignement
415,Allan Sichel et sa famille,200,MAISON SICHEL,vins
415,Derek Remy Smith,200,TRESOR DU PATRIMOINE,distribution
436,Gilles Benhamou,190,ASTEELFLASH GROUP,electronique
436,Jean-Claude Bertojo et sa famille,190,SPIRIT,immobilier
436,Pierre Antoine Castéja et sa famille,190,JOANNE,vins
436,Marie-Laurence Gouraud et Patricia Brochard et Bénédicte Mercier ainsi que leur famille,190,SODEBO,agroalimentaire
436,Jean-Claude Labrune et sa famille,190,CEGEDIM,numérique
436,Louis-Fabrice Latour et sa famille,190,LOUIS LATOUR,vins
436,Bruno Paillard,105,LANSON,vins
443,Patrick Ballu,180,EXEL INDUSTRIES,industrie
443,Famille Barton,180,CHATEAU LEOVILLE BARTON,vins
443,Stanislas de Bentzmann et Godefroy de Bentzmann,180,DEVOTEAM,services
443,Bernard Blachère et sa famille,180,GROUPE BLACHERE,distribution
443,Didier Blaise,180,ALLOPNEUS,distribution
443,Thierry Bourdoncle,180,GROUPE BOURDONCLE,services
443,famille Chapoutier,180,CHAPOUTIER,vins
443,Antoine Gallimard et sa famille,180,GROUPE MADRIGALL,distribution
443,Olivier Ginon,180,GL EVENTS,services
443,Hugues Giroud et Loic Giroud ainsi que leur famille,180,SOGEPAR,hôtellerie
443,Dexter Goei,180,ALTICE USA,télécoms
443,Olivier Goy,180,OCTOBER,finance
443,Famille Huttepain,180,LDC,agroalimentaire
443,famille Mähler-Besse,180,CHATEAU PALMER,vins
443,Nicolas Olano et sa famille,180,GROUPE OLANO,transports
443,Jean-Marie Savalle et sa famille,180,ISAGRI,numérique
443,Laurent Uberti et Olivier Camino,180,GROUPE SITEL,services
443,Jacqueline Veyrac et sa famille,0,GRAND HOTEL,hôtellerie
443,Nicolas Walewski,180,ALKEN,finance
463,Franck Allard et sa famille,175,FILHET-ALLARD,assurances
463,Jérôme Benoît et sa famille,175,DELTA PLUS GROUP,industrie
463,Famille Janoueix,175,JOSEPH JANOUEIX,vins
463,Isabel Marant,175,ISABEL MARANT,habillement
467,Famille Aguettant,170,AGUETTANT,pharmacie
467,Famille Bénéteau,170,GROUPE BENETEAU,industrie
467,Jean-Patrice Bernard et sa famille,0,GROUPE BERNARD,automobile
467,Barbara Boccara et Sharon Krief et Dan Arrouas,170,BA&SH,habillement
467,Jacques Bouthier,170,ASSU 2000,assurances
467,Antoine Chevanne et sa famille,0,GROUPE FLOIRAT,holding
467,Yves Choueifaty,170,TOBAM,finance
467,Jean-Claude Condamin et sa famille,170,SOGELYM DIXENCE,immobilier
467,Nicolas Dmitrieff et Familles Dmitrieff et Herlicq,170,CNIM,services
467,Jérôme Fabre et sa famille,170,COMPAGNIE FRUITIERE,agroalimentaire
467,Antoine Frey,170,FREY,immobilier
467,Gérard Joulie et Christophe et Alexandre,170,GROUPE JOULIE,restauration
467,Daniel Julien,170,TELEPERFORMANCE,services
467,Jérôme Lecat et Giorgio Regni,0,SCALITY,numérique
467,Jean-Louis Meyer et Alain Trichot,0,CFH (COMPAGNIE FRANÇAISE D'HÔTELLERIE),hôtellerie
467,François Padrona,0,BALEODIS (LECLERC),distribution
467,Armando Pereira,170,ALTICE GROUP,télécoms
467,Patrick Teycheney,170,COLISEE PATRIMOINE GROUP,maisons de retraite
485,Pierre Alloin et sa famille,160,FIRALP,btp
485,Emmanuel Arnaud et Charles-Edouard Girard,0,HOMEEXCHANGE,internet
485,Philippe Baudesson de Chanville d'Arc et Christian Raisson,160,COLIBRI MANOMANO,numérique
485,Christian Buton et sa famille,0,CB EXPANSION,agroalimentaire
485,Patrice Cavalier,0,GRAND M GROUP (EX HPC),immobilier
485,Pierre Chartier et sa famille,0,ST-HERBLAIN DISTRIBUTION (LECLERC),distribution
485,Famille Cuvelier,160,CHATEAU LÉOVILLE POYFERRÉ,vins
485,Robert Daussun,160,LBO FRANCE GESTION,finance
485,Jérôme Desautel et sa famille,0,GROUPE DESAUTEL,industrie
485,"Florian Douetteau et Clément Stenac, Marc Batty, Thomas Cabrol",160,DATAIKU,internet
485,Jean-Marc Filippini et Marc Lafourcade,0,MMV,hôtellerie
485,Philippe Frantz et sa famille,0,GROUPE REEL,services
485,Patrick Frey et sa famille,0,PIERRE FREY,luxe
485,"Michel Gobillot et Guillaume Gobillot, Céline Guillou ainsi que leur famille",0,PIERRYDIS (LECLERC),distribution
485,Alexandre Guillen et Serge Kliaguine,0,HOTEL NAPOLEON,hôtellerie
500,Pierre Hermé et Charles Znaty,0,MAISON PIERRE HERME,luxe
